Year,Month,Date,Gold,Silver,Platinum,Palladium
1990,8,1990-08-28,390.4,4.92,487.125,110.875
1990,8,1990-08-24,411.15,5.134,501.575,115.925
1990,8,1990-08-23,414.05,5.216,504.625,117.625
1990,8,1990-08-22,409.375,5.1165,499.75,117.5
1990,8,1990-08-21,410.825,5.16,502.125,117.75
1990,8,1990-08-20,409.325,5.201,502,117.875
1990,8,1990-08-17,410.55,5.21,503.75,118.5
1990,8,1990-08-16,400.925,5.065,495.875,116.8
1990,8,1990-08-15,399.95,5.1325,496.05,117.25
1990,8,1990-08-14,411.25,5.2015,502.7,118.5
1990,8,1990-08-13,402.1,5.085,496,117.45
1990,8,1990-08-10,389.05,4.94,485.5,115.125
1990,8,1990-08-09,384.725,4.8825,480.25,114.875
1990,8,1990-08-08,384.75,4.872,480.325,114.625
1990,8,1990-08-07,383.6,4.931,484.5,114.625
1990,8,1990-08-06,381.125,4.875,483.875,114.375
1990,8,1990-08-03,377.4,4.826,483.25,114.75
1990,8,1990-08-02,381.65,4.9325,491.375,116.625
1990,8,1990-08-01,370.875,4.8125,485,116.3
1990,7,1990-07-31,371.7,4.855,480.375,116.625
1990,7,1990-07-30,367.55,4.83,475.8,116.675
1990,7,1990-07-27,367.625,4.8365,475.95,117.125
1990,7,1990-07-26,369.675,4.8525,477.25,117.25
1990,7,1990-07-25,370.075,4.874,479.5,117.3
1990,7,1990-07-24,368.475,4.9,481.55,118.65
1990,7,1990-07-23,363.95,4.882,478.175,118.225
1990,7,1990-07-20,360.875,4.865,475.5,117.875
1990,7,1990-07-19,361.925,4.881,475.525,116.975
